dataset,video_id,plot_path,gt_supportable_count,gt_uncertain_count,gt_unsupportable_count,final_pi_count,valley_cut_count,high_unmarked_peak_count,low_marked_segment_count
UCF-Crime,Abuse028_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0001_UCF-Crime_Abuse028_x264.png,0,1,0,0,0,0,0
UCF-Crime,Abuse030_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0002_UCF-Crime_Abuse030_x264.png,0,0,1,0,0,0,0
UCF-Crime,Arrest001_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0003_UCF-Crime_Arrest001_x264.png,1,0,0,1,0,0,2
UCF-Crime,Arrest007_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0004_UCF-Crime_Arrest007_x264.png,1,0,0,3,2,0,5
UCF-Crime,Arrest024_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0005_UCF-Crime_Arrest024_x264.png,1,0,0,2,0,0,5
UCF-Crime,Arrest030_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0006_UCF-Crime_Arrest030_x264.png,1,0,0,9,0,0,4
UCF-Crime,Arrest039_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0007_UCF-Crime_Arrest039_x264.png,1,0,0,9,0,0,6
UCF-Crime,Arson007_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0008_UCF-Crime_Arson007_x264.png,1,0,0,0,0,0,0
UCF-Crime,Arson009_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0009_UCF-Crime_Arson009_x264.png,1,0,0,0,0,0,0
UCF-Crime,Arson010_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0010_UCF-Crime_Arson010_x264.png,1,0,0,3,0,0,1
UCF-Crime,Arson011_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0011_UCF-Crime_Arson011_x264.png,2,0,0,1,0,0,2
UCF-Crime,Arson016_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0012_UCF-Crime_Arson016_x264.png,1,0,0,1,0,0,1
UCF-Crime,Arson018_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0013_UCF-Crime_Arson018_x264.png,1,0,0,1,0,0,2
UCF-Crime,Arson022_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0014_UCF-Crime_Arson022_x264.png,0,1,0,0,0,0,0
UCF-Crime,Arson035_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0015_UCF-Crime_Arson035_x264.png,1,0,0,1,0,0,4
UCF-Crime,Arson041_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0016_UCF-Crime_Arson041_x264.png,1,0,0,2,0,0,6
UCF-Crime,Assault006_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0017_UCF-Crime_Assault006_x264.png,1,0,0,7,0,0,1
UCF-Crime,Assault010_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0018_UCF-Crime_Assault010_x264.png,2,0,0,7,0,0,18
UCF-Crime,Assault011_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0019_UCF-Crime_Assault011_x264.png,1,0,0,1,0,0,0
UCF-Crime,Burglary005_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0020_UCF-Crime_Burglary005_x264.png,1,0,0,3,0,0,2
UCF-Crime,Burglary017_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0021_UCF-Crime_Burglary017_x264.png,1,0,0,1,0,0,4
UCF-Crime,Burglary018_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0022_UCF-Crime_Burglary018_x264.png,1,0,0,0,0,0,0
UCF-Crime,Burglary021_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0023_UCF-Crime_Burglary021_x264.png,1,1,0,0,0,0,0
UCF-Crime,Burglary024_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0024_UCF-Crime_Burglary024_x264.png,0,1,0,0,0,0,0
UCF-Crime,Burglary032_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0025_UCF-Crime_Burglary032_x264.png,1,0,0,3,1,0,10
UCF-Crime,Burglary033_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0026_UCF-Crime_Burglary033_x264.png,1,0,0,1,1,0,2
UCF-Crime,Burglary035_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0027_UCF-Crime_Burglary035_x264.png,1,0,0,2,0,0,8
UCF-Crime,Burglary037_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0028_UCF-Crime_Burglary037_x264.png,2,0,0,2,0,0,4
UCF-Crime,Burglary061_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0029_UCF-Crime_Burglary061_x264.png,0,1,0,0,0,0,0
UCF-Crime,Burglary076_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0030_UCF-Crime_Burglary076_x264.png,1,0,0,2,0,0,1
UCF-Crime,Burglary079_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0031_UCF-Crime_Burglary079_x264.png,1,0,0,5,0,0,2
UCF-Crime,Burglary092_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0032_UCF-Crime_Burglary092_x264.png,1,0,0,1,0,0,2
UCF-Crime,Explosion002_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0033_UCF-Crime_Explosion002_x264.png,1,0,0,2,1,0,5
